id,english,tigrinya,domain
461,"If you must travel {/t1}{f1/}{t2}for{/t2}{f2/}{t3} an emergency, please contact the Exodus legal team to speak to them about your options.  {/t3}",???? ???? {/t1}{f1/}{t2}?{/t2}{f2/}{t3} ????? ????? ???? ??? ?? ?? Exodus ??? ??? ???? ???? ??????? ??????? {/t3},legal
462,{b1}FAMILY REUNIFICATION:{/b1}{t1},{b1}FAMILY REUNIFICATION?{/b1}{t1},legal
463,"Exodus Refugee - Indianapolis may be able to provide family reunification support to your family members, as eligible.",Exodus Refugee - Indianapolis ?? ?????????? ?????? ?? ????? ????? ??? ???? ???? ???? ?,legal
464,Please contact 317-921-0836 if you have questions on family reunification eligibility and application completion. {/t1},???? ????? ????? ?????? ???? ?????? ???? ?? ?????? ???? ??? 317-921-0836 ????? {/t1},legal
465,{b1}CHANGE OF ADDRESS:,{b1}?? ???? ????,legal
466,"{/b1}{t1}If you and your family decide to move to a new address, please remember to complete the following: {/t1}",{/b1}{t1}???? ??????? ?? ??? ???? ????? ??? ?????? ??? ???? ????? ??????? {/t1},legal
467,Complete and submit an AR-11 form to USCIS,??? AR-11 ?? USCIS ????? ?????,legal
468,Complete and submit a change of address form with the U.S.,?? ??????? ?? ????????? ??????,legal
469,Postal Service (USPS),Postal Service (USPS),legal
470,"{t1}Complete and submit a change of address with the Selective Service Registry, as eligible, at {/t1}{a1}https://www.sss.gov/verify/update-info/{/a1}",{t1}?? ???? ??? ?????? ?? Selective Service Registry ?? ??? ????????? {/t1}{a1}https://www.sss.gov/verify/update-info/ ????{/a1},legal
471,Contact the CWS Travel Loan Department to update your address.,?????? ????? ?? Travel Loan Department CWS ?????,legal
472,Contact the local welfare office to cancel active public benefits.,??? ???? ????? ????? ?? ?? ???? ????? ?? ???? ??? ????,legal
473,{b1}SELECTIVE SERVICE REGISTRATION:{/b1}{t1},{b1}SELECTIVE SERVICE REGISTRATION?{/b1}{t1},legal
474,All males between the ages of 18 and 25 are required to register with the Selective Service.,??? ?? 18 ??? 25 ??? ?????? ?? ????? ?? Selective Service ????? ?????,legal
475,"Failure to register, may result in denial of U.S. citizenship, federal loans, employment and job training.",???????? ???? ????? ????? ???? ???? ????? ????? ???? ???,legal
476,"All U.S. male citizens, including non-citizens living the U.S., are required to register with Selective Service upon turning 18 years old.",??? ?? ????? ???? ????? ????? ?? ???? ???? ????????? ????? 18 ??? ?? ??? ?? Selective Service ????? ?????,legal
477,Please visit {/t1}{a1}https://www.sss.gov/register/who-needs-to-register/{/a1}{t2} for more information on completing Selective Service Registration. {/t2},???? ???? ????? Selective Service ???? ???? ????? {/t1}{a1}https://www.sss.gov/register/who-needs-to-register/{/a1}{t2} ????? {/t2},legal
478,It was a pleasure to serve you during the R&P Program and we wish you a successful resettlement journey.,??? ?? R&P Program ???? ????? ?? ??? ?? ???? ?? ??? ????? ?? ??? ??? ??????? ????,legal
479,"Sincerely,",?????,legal
480,Case Manager,??? ???,legal
481,"Exodus Refugee Immigration, Inc.",Exodus Refugee Immigration? Inc.,legal
482,2457 E.,2457 E.,legal
483,"Washington Street, Suite A, Indianapolis, IN 46201",Washington Street? Suite A? Indianapolis? IN 46201,legal
484,Office: 317-921-0836,??-????? 317-921-0836,legal
485,0x010100EDFC0C4030F74D41BCD9B3D0988C5AD6,0x010100EDFC0C4030F74D41BCD9B3D0988C5AD6,legal
486,Updated 1.21.2025,?1.21.2025 ??????,legal
487,Immigration Legal Resources,Immigration Legal Resources (?? ?????? ??? ????),legal
488,<1>ACLU of Massachusetts:</1> For questions about your constitutional rights,<1>?? Massachusetts ACLU?</1> ???? ?? ?????? ?????? ????? ????,legal
489,Call 617-482-3170,?? 617-482-3170 ???,legal
490,Website: <1>Seek Legal Assistance | ACLU Massachusetts</1>,???? ????? ?? ?? ??? <1>?? ?? ??? ????? | ACLU Massachusetts</1>,legal
491,Cambridge DeNovo Legal Screening Clinic,Cambridge DeNovo Legal Screening Clinic (Cambridge DeNovo ?? ?? ?????? ?????? ??? ????? ????),legal
492,Call 617-405-5479 and leave your name and contact number,????? ??? ??????? ?? 617-405-5479 ????? ???,legal
493,You will receive a call from a volunteer immigration attorney within a month,?? ??? ?? ??? ?? ?? ???? ????? ?????? ??? ??? ????? ?????? ??? ?????? ??,legal
494,Catholic Charities Immigrant Services,Catholic Charities Immigrant Services (????? ??? ??? ?????? ??????),legal
495,Call 617-464-8100,?? 617-464-8100 ???,legal
496,Website: <1>https://www.ccab.org/refugee-immigrant-services/</1>,???? ????? <1>https://www.ccab.org/refugee-immigrant-services/</1>,legal
497,<1>Committee for Public Counsel Services:</1> legal representation for those unable to afford an attorney in all matters in which the law requires the appointment of counsel,<1>Committee for Public Counsel Services (??? ?????? ????? ???)?</1> ?? ??? ?? ??? ????? ?? ?? ?? ??? ???? ???? ????? ??? ??? ??? ??? ???,legal
498,Call 617-482-6212,?? 617-482-6212 ???,legal
499,Website: <1>Committee for Public Counsel Services</1>,???? ????? <1>Committee for Public Counsel Services</1>,legal
500,Greater Boston Legal Services,Greater Boston Legal Services (?? Greater Boston ???? ?????? ??),legal
501,Call 617-371-1234,?? 617-371-1234 ???,legal
502,Website: <1>https://www.gbls.org/get-legal-help </1>,???? ????? <1>https://www.gbls.org/get-legal-help</1>,legal
503,<1>Kids In Need of Defense (KIND):</1> Represents kids under age 17.5 years,<1>Kids In Need of Defense (KIND? ??? ??? ????? ????)?</1> ??? 17.5 ??? ?????? ???? ????,legal
504,Call: 617-207-4138,??? 617-207-4138 ???,legal
505,Website: <1>https://supportkind.org/ </1>,???? ????? <1>https://supportkind.org/ </1>,legal
506,<1>Lawyers for Civil Rights (LCR) Immigrant Defense Hotline: </1>legal advice for immigrants facing imminent threats related to immigration enforcement,<1>Lawyers for Civil Rights (LCR) Immigrant Defense Hotline (?? ???? ???? ?????? ???? ?????? ??? ????)? </1>?? ????? ?????? ?????? ??? ??? ????? ?????? ?????? ??? ??? ???,legal
507,Call 617-988-0606 and leave a message,?? 617-988-0606 ??? ???’?? ????? ????,legal
508,You will get call back the same day,??? ???? ??? ???? ???????? ??,legal
509,Website: <1>Immigrant Rights</1>,???? ????? <1>???? ????</1>,legal
510,MA Immigrant and Refugee Advocacy Coalition (MIRA),MA Immigrant and Refugee Advocacy Coalition (MIRA? MA ???? ????? ??????),legal
511,Website: <1>Know your rights - MIRA Coalition</1>,???? ????? <1>?????? ???- MIRA Coalition</1>,legal
512,<1>PAIR Project:</1> Helps with detained immigration cases and asylum,<1>PAIR Project?</1> ?? ??? ??????? ?? ??? ?????? ??? ??? ???,legal
513,Call 617-742-9296,?? 617-742-9296 ???,legal
514,Website: <1>Get Help – PAIR Project</1>,???? ????? <1>??? ???? - PAIR Project</1>,legal
515,<1>Project Citizenship:</1> For assistance with applying for citizenship,<1>Project Citizenship?</1> ?? ?? ???? ????? ??? ??? ?????,legal
516,Call 617-694-5949,?? 617-694-5949 ???,legal
517,Website: <1>Citizenship Services</1>,???? ????? <1>?????? ????</1>,legal
518,"<1>RIAN Immigrant Center:</1>  legal consultations over the phone to ask questions, receive advice, and learn what immigration options are available",<1>RIAN Immigrant Center (???? ??????)?</1> ???? ?????? ??? ?????? ???? ???? ?????? ?????? ?????? ????? ??? ??? ??? ???? ??,legal
519,Call 617-542-7654,?? 617-542-7654 ???,legal
520,Website: <1>Immigration Legal Services - Rian Immigrant Center</1>,???? ????? <1>?????? ?? ?????? - Rian Immigrant Center</1>,legal
521,<1>Massachusetts </1>Office of the Attorney General<2>: </2><3>Immigration resources/ Civil Rights</3>,<1>Massachusetts </1>Office of the Attorney General (?? Massachusetts ?? ???? ?? ??? ??)<2>? </2><3>???? ??????/???? ????</3>,legal
522,To report the unauthorized practice of law/immigration fraud call <1>617</1>-<2>963-2917</2>,??? ???? ??? ??????/?????? ?????? ???? ????? ?? <1>617</1>-<2>963-2917</2> ???,legal
523,To report a hate crime<1> call </1>1-800-994-3228,?? ??? ??? ???? ????? ?? 1-800-994-3228<1> ???</1>,legal
524,"<1>To report </1>bias-motivated threats, harassment or violence submit a report at <2>Multilingual Combatting Hate PSAs | Mass.gov</2>",?? ??? ?? ??? ?????? ?????? ???? ?? ????? <1>???? ????? ?? </1><2>Multilingual Combatting Hate PSAs | Mass.gov</2> ???? ???? ???,legal
525,Legal Services Directory in Massachusetts:,Legal Services Directory in Massachusetts (?? Massachusetts ??? ???? ?? ?? ?????? ????? ????)?,legal
526,Massachusetts Legal Resource Finder: <1>https://masslrf.org/en/home </1>,Massachusetts Legal Resource Finder (?? Massachusetts ??? ???? ????)? <1>https://masslrf.org/en/home </1>,legal
527,Immigration court list of legal services: <1>https://www.justice.gov/eoir/file/ProBonoMA/download </1>,???? ??? ?????? ?? ??? ??????? <1>https://www.justice.gov/eoir/file/ProBonoMA/download </1>,legal
528,City of Boston free consultations: <1>City of Boston Immigration Clinic | Massachusetts Legal Resource Finder</1>,?? Boston ????? ??? ?? ?? ??? ??????? <1>City of Boston Immigration Clinic | Massachusetts Legal Resource Finder</1>,legal
529,Legal Services Directory Outside of Massachusetts:,?? Massachusetts ??? ???? ???? ??? ?????? ?????,legal
530,Immigration Advocates Network Legal Directory: <1>National Immigration Legal Services Directory</1>,Immigration Advocates Network Legal Directory (??? ???? ?? ?????? ????? ???)? <1>National Immigration Legal Services Directory (???? ?? ?????? ?? ??? ?????? ???? ????)</1>,legal
531,Immigration Legal Resources Handout,?? ?????? ?? ??? ???? ????,legal
532,Make your voice matter in Seattle's elections,????? ?? ??? Seattle ?? ???? ?????,legal
533,Democracy Vouchers are a way for Seattle residents to make financial contributions to candidates they support in Seattle City elections.,????? ???? ???? Seattle ?? ??? ??? Seattle ??????? ???? ????? ????? ????? ???? ???,legal
534,"The program is funded by a voter-approved property tax, costing the average property owner about $8 per year.<1><2>",?? ??? ????? ????? ??? ???? ???? ???? ??? ??? ??? ???? ?? ??? ???? 8 ??? ??? ??? ?????<1><2>,legal
535,<1>What is a Democracy Voucher?</1><2>The City of Seattle provides Democracy Vouchers to residents.,<1>???? ????? ???? ???</1><2>????? ???? ????? ??? ??? ??? Seattle ?????,legal
536,Democracy Vouchers are certificates valued at $25 each that Seattle residents use to donate to local campaigns.,????? ????? ??? ???? 25 ??? ???? ???? ???? ????? ???? Seattle ??? ??? ??? ????? ???? ????? ????? ?????,legal
537,<1>Why use Democracy Vouchers?</1><2>Your participation makes an impact.,<1>????? ?? ?? ????? ???? ?????</1><2>?????? ??? ???? ???,legal
538,The Democracy Voucher Program has helped to increase and diversify the number of Seattle residents who are able to donate to campaigns and run for office.,????? ???? ????? ???? ?????? ???? Seattle ????? ??? ???? ????? ??? ???? ?????? ???? ???? ??? ???,legal
539,Which candidates can receive Democracy Vouchers?,???? ???? ??? ?? ????? ???? ???? ?????,legal
540,"<1>Only participating candidates running for City Council, City Attorney, or Mayor in Seattle can accept your vouchers to support their campaigns.",<1>?? Seattle ?City Council? City Attorney ?? Mayor ????? ???? ??? ??? ?????? ????? ?????? ???? ?????,legal
541,How do I learn about the candidates?,???? ??? ???? ???? ???? ?????,legal
542,<1>Find a participating candidate on the <2>participating candidates page</2>.,<1>?? <2>?? ????? ???? ??</2> ????? ???? ????? ??????,legal
543,Read their <1>Candidate Introductions</1> to learn more about the candidates.,?? ???? ???? ???? ????? <1>?? ???? ??????</1> ?????,legal
544,<1>When is the next City of Seattle election?</1><2>The next City of Seattle election is in 2025.,<1>???? ??? ????? ??? Seattle ??? ???</1><2>???? ??? ????? ??? Seattle ?? 2025 ?.? ?????,legal
545,"Democracy Vouchers can be used from the time you receive them through November 29, 2025.",??? ?? ????? ????? ??? ??????? ??? ????? ??? 29 ????? 2025 ????? ???? ????,legal
546,You can get Democracy Vouchers if you are:,??? ???? ????? ?? ????? ????? ???? ????? ???? ????,legal
547,"A Seattle resident,",?? Seattle ??? ????,legal
548,"At least 18 years of age, and",?????? ????? 18 ??? ???? ????,legal
549,"A U.S. citizen, U.S. national, or lawful permanent resident.",?? U.S. ??? ?? U.S. ???? ?? ??? ??? ??? (??? ??? ???) ????,legal
550,You do not have to be a registered voter to receive Democracy Vouchers.,?? ????? ???? ????? ??? ???? ??? ????? ???? ??????????,legal
551,"If you meet the criteria listed above, you may apply to receive vouchers.",?? ??? ?????? ??? ????? ??? ??????? ????? ?????? ???? ????,legal
552,"If you have any questions, please call <1>(206) 727-8855</1>.",??? ???? ?? ?? ?????? ???? ?? <1>(206) 727-8855</1>????,legal
553,Free language interpretation service is available.,??? ???? ?? ??? ???? ?????? ???? ?????,legal
554,You may download or print these materials to share with your community.,??? ????? ???? ?????? ????????? ??????? ??’?? ??????? ???? ????,legal
555,Democracy Voucher Application,?? ????? ???? ?????,legal
556,Resident Brochure,?? ??? ????,legal
557,Resident Flyer,?? ??? ??? ????,legal
558,Candidate Flyer,?? ??? ??? ????,legal
559,DVP Poster,?? DVP ????,legal
560,Replacement Request Form,?? ????? ?? ???,legal
561,Top 10 Questions and Answers About Service Animals,???? ?????? ??? ?????? ????? 10 ??? ????? ??????,legal
562,What is a service animal?,?????? ??? ???? ???? ???,legal
563,"A service animal does work, or performs tasks, or provides medically necessary support for a person with a disability.",?????? ??? ????? ??? ???? ????? ???? ???? ?? ?? ??? ???? ?? ????? ??? ??? ???? ???,legal
564,Is a service animal a pet?,?????? ??? ???? ?? ???? ??? ???,legal
565,No. A service animal the definition of service animal is broad.,?????? ???? ?? ?????? ??? ???? ??? ???,legal
566,"Do service animals include therapy, emotional support, and companion animals?",??? ?????? ??? ?????? ??? ???? ????? ???? ????? ??? ??????? ????? ???,legal
567,Yes.,???,legal
568,"In Seattle, a service animal can include therapy, emotional support, and companion animals.",?? Seattle ???? ??? ?????? ??? ??????? ???? ????? ???? ???’?? ???? ???? ????? ??? ??????? ??????,legal
569,Is a service animal required to have visible or special identification or certification?,?? ?????? ??? ???? ???? ??? ?? ??? ???? ?? ???? ???? ???? ???? ???,legal
570,"No. While some animals wear a vest or special identification, it is not required in Seattle.",?????? ?? ?????? ??? ?????? ???? ????? ?? ??? ???? ???? ???? ?? ?? ?? Seattle ??? ??????,legal
571,Can a service animal be any breed or size?,?????? ??? ???? ??? ???? ?? ???? ??? ?? ??? ??? ???? ???? ???,legal
572,Yes.,???,legal
573,"If the service animal is a dog, it may be any breed or size.",?? ?????? ??? ???? ??? ??????? ?? ??? ??? ??? ?? ??? ???? ?????,legal
574,Who is responsible for a service animal’s care and supervision?,?????? ??? ???? ?? ????? ?????? ????? ???? ?? ???,legal
575,The service animal owner must have control of their service animal and is responsible for any damages caused by the service animal.,??? ??? ?????? ??? ???? ?? ?? ?????? ???? ?????? ?? ?? ?????? ???? ????? ??? ??? ???? ????? ????? ????,legal
576,May I have more than one service animal?,?? ?? ???? ?????? ??? ???? ????? ???? ???,legal
577,Yes.,???,legal
578,A person may need more than one service animal for each disability-related need.,?? ????? ???? ????? ?? ????? ????? ??????? ??? ???? ?? ?? ???? ???? ???? ?????,legal
579,Can a housing provider charge pet deposits or pet fees for my service animal?,?? ??? ???? ?? (????) ???????? ?????? ???? ???? ?? ?? ???? ??? ???? ???? ???? ???? ???,legal
580,How about a general cleaning fee or damage deposit?,????? ?????? ??? ?? ????? ???? ???? ???? ???? ???? ???,legal
581,No. A housing provider cannot charge pet deposits or pet fees for a service animal.,??????? ?? ??? ???? ?? (????) ??? ?????? ??? ???? ???? ???? ?? ?? ???? ??? ???? ????? ????? ?????? ???,legal
582,"Can a housing provider, employer, or a business ask me for details about my disability?",?? ??? ???? ?? (????)? ????? ?? ??? ???? ?????? ???? ???? ???? ???,legal
583,"No. They can ask, “Is this a service animal?”","??????? ""?? ???? ?????? ??? ???? ???"" ??? ?? ?? ????? ???? ????",legal
584,"If the answer is yes, they can ask, “Does the animal perform work, a task, or is medically necessary for your disability?”","???? ?? ??????? ""?????? ??? ???? ??? ????? ????? ???? ????? ?? ???????? ?????? ???? ??? ??? ???? ???"" ???? ???? ???? ????",legal
585,"Can a housing provider, employer, or a business ask me for verification of my disability-related need for a service animal?",?? ??? ???? ?? (????)? ????? ?? ???? ?????? ?? ?????? ???? ???????? ?? ????? ???? ???? ???? ???? ???,legal
586,Yes and no. Housing providers and employers may ask for proof of a disability-related need for a service animal from a provider like a doctor.,??? ??????? ???? ???? (????? ??)? ???????? ?? ??? ?? ??? ??? ???? ??? ???? ??? ???? ???? ?? ?? ?????? ??????? ?????? ?? ?????? ???? ???????? ??? ???,legal
587,A business can only ask the questions listed above.,?? ?? ??? ??? ???? ???? ???? ???? ??? ?? ??? ????? ??? ????,legal
588,Document Name: Service Date/Time: Result Status: Performed By:,?? ???? ?????? ???/???? ???? ????? ????? ??,legal
589,Results Callback Letter 9/20/2024 10:58 EDT,???? ?? ???? ???? 9/20/2024 10:58 EDT,legal
590,Auth (Verified),??? (?????),legal
591,"Spurlock, Deanna L, RN (9/20/2024 10:58 EDT)",Spurlock? Deanna L? RN (9/20/2024 10:58 EDT),legal
592,Indiana University Health,Indiana University Health,legal
593,20-Sep-24,?????? 20? 2024,legal
594,Kudsan Brhane,Kudsan Brhane,legal
595,869 WOODCROSS CT,869 WOODCROSS CT,legal
596,"AVON, IN 461238162",AVON? IN 461238162,legal
597,Dear Kudsan Brhane,????? Kudsan Brhane,legal
598,"Edmund Gomez, M.D.",Edmund Gomez? M.D.,legal
599,"Marwan Saleh, M.D.",Marwan Saleh? M.D.,legal
600,"Blair Dina, M.D.",Blair Dina? M.D.,legal
601,Danielle Beaver D.O.,Danielle Beaver D.O.,legal
602,Tiffany Fan M.D,Tiffany Fan M.D,legal
603,Michael Mondheim M.D.,Michael Mondheim M.D.,legal
604,"Melissa Dzikowski, N.P.",Melissa Dzikowski? N.P.,legal
605,"Christine Pankau, N.P.",Christine Pankau? N.P.,legal
606,IUHP West Women's Health,IUHP West Women's Health,legal
607,"1115 North Ronald Reagan Parkway, Suite 266 Avon, Indiana 46123",1115 North Ronald Reagan Parkway? Suite 266 Avon? Indiana 46123,legal
608,Telephone: (317) 217-2500 Fax:,????? (317) 217-2500 ????,legal
609,(317) 222-2124,(317) 222-2124,legal
610,Thank you for choosing IU Health Physicians.,?IU Health Physicians ??????? ????????,legal
611,We value our partnership with you to ensure your best health.,?????? ??? ????? ???? ????? ?????? ?? ????,legal
612,We have been unable to reach you by phone to discuss your recent test results and need for repeat lab testing requested by your OB/Gyn provider.,?? ??? ??? ?????? ???? ????? ???? OB/Gyn ????? ????? ???? ????? ????? ????? ????? ??????? ????????,legal
613,"We have attempted to contact you by telephone, unfortunately, we have not yet been successful.",????? ??????? ???? ???? ??? ???? ??? ?? ?????????,legal
614,We understand how busy you must be and we greatly value your time.,??? ???? ??? ????? ?? ???? ???? ??? ????? ?? ??? ?? ????,legal
615,"Please feel free to contact our office at (317) 217-2500, Monday through Friday from 8:00am to 4:30pm.",??? ????? ???? ??? (317) 217-2500? ?? ??? ??? ??? ?? ??? 8?00 ??? ??? ??? ??? 4?30 ??? ??? ?????? ???? ????,legal
616,"If you have received this letter and have already spoken with us, please accept our apology.",?? ???? ?????? ?? ??? ???????? ????????? ???? ????? ?????,legal
617,"On behalf of the staff at IU Health Physicians Women's Health West, thank you for trusting us with your care.",??? ??????? IU Health Physicians Women's Health West? ???? ????? ??? ????????? ????????,legal
618,It is our pleasure to serve you.,???????? ???? ???,legal
619,Women's West Ob/Gyn team,???  Women's West Ob/Gyn,legal
620,"Sincerely,",????,legal
621,9/20/2024 10:59,9/20/2024 10:59,legal
622,EDT,EDT,legal
623,Hourly Wage Employee Agreement,?? ??? ??? ????? ????,legal
624,Including a notice detailing employment terms pursuant to the law governing,????? ?? ???? ?? ????? ??? ????? ???? ???? ???,legal
625,Notice to Employee of Employment Terms,,legal
626,,???? ?????? ?? ??? ????,legal
627,"Held and signed on the ___ of __________, in the year _____",?? ___ ?? __________? ?? ??? _____?????? ??????,legal
628,Please complete Employer’s full name as it appears in the Certificate of Incorporation,???? ??? ?? ???? ??? ?? ???? ???? ????? ?? ????,legal
629,"(hereinafter ""Employer"") by authorized signatories:","(??? ???? ""????"") ???? ???? ?????",legal
630,1,1,legal
631,___________________________ 2.,___________________________ 2.,legal
632,____________________________,____________________________,legal
633,Of the first part,?? ???? ???,legal
634,And:,???'???,legal
635,______________________,______________________,legal
636,ID  ______________________,???? ???? ______________________,legal
637,Address ______________________________________________,???? ______________________________________,legal
638,Tel. ______________________,?.? ______________________,legal
639,(hereinafter:,(??? ?????,legal
640,Employee)          <50>Of the second part</50>,?????) ,legal
641,,,legal
642,,          <50>?? ???? ???</50>,legal
643,WHEREAS:,???? ???,legal
644,"Employee declares that it possesses the skill and qualifications necessary to perform the work subject of this Contract at a professional level, to a proper standard and quality; and",????? ?? ??? ??? ??? ???? ???? ???? ???? ???? ????? ??? ????? ????? ????? ????? ?????,legal
645,WHEREAS:,???? ???,legal
646,Employee has expressed its desire to be hired as an employee at ATMOS CLEAN and Employer is willing to employ it subject to the terms of this Special Contract.,????? ?? ATMOS CLEAN ?? ????? ???? ??? ??? ??? ???? ?? ????? ???? ??? ??? ??? ???? ??? ???,legal
647,"It was therefore declared, stipulated and agreed between the parties as follows:",??? ?? ??? ??? ???? ???? ???? ????? ????? ???????,legal
648,63 - 122 / 600,63 - 122 / 600,legal
649,1,1,legal
650,<57>Job description</57>:,<57>???? ???</57>?,legal
651,Cleaner,????,legal
652,__________________________________________________________________________________,__________________________________________________________________________________,legal
653,3,3,legal
654,Position,??,legal
655,The position is by hourly payment only and its calculation based on the actual working hours of the Employee to be reported in writing by Employee and submitted to Employer at the end of each <63>month</63>.,?? ??? ??? ??? ???? ??? ??? ???? ?? ?? ??? ?? ??? ???? ??? ????? ?????? ??? ???? ?????? ????? ?? ????? ??? ??? <63>???</63> ?? ???? ????? ????,legal
656,A prerequisite for the veracity of the report and its approval is Employer's signature and confirmation that such report has been verified and approved.,?? ???? ???? ????? ???? ??? ??? ?? ???? ??? ???'?? ?? ???? ?? ??????? ?? ?????? ????? ???,legal
657,"For the avoidance of doubt, Employee will only receive payment for hours worked in practice in accordance with the quota approved for it under this Contract.",???? ????? ????? ????? ?? ??? ????? ?? ????? ????? ???? ??? ?? ???? ?????,legal
658,4,4,legal
659,Wages,???,legal
660,"4.1  The parties determine that the full and final remuneration for each hour of actual work is <69>NIS 40</69>: in words <72>forty</72> new shekels, gross, <75>provided that such does not fall below the minimum wage established by law for one hour of work</75>.",4.1 ??? ???? ???? ??? ??? ??? ??? ???? ?? ?????? ???? <69>NIS 40</69> ??? ????? ???? <72>????</72> ??? ???? ????? <75>??? ???????? ??? ??? ???</75> ??? ????? ???? ??? ???? ?????,legal
661,"(Insofar as Employee's wages fall short of the minimum wage, per hour of work, Employer must supplement the minimum wage established by law per working hour, which may be updated from time to time).",(??? ????? ??? ???? ??? ??? ????? ?? ?? ??? ???? ???? ?? ??? ????? ???? ??? ?? ??? ??? ??? ??? ???? ???? ?? ?? ????? ????? ????)?,legal
662,"4.2  Employee's salary shall be determined according to the number of hours it works in practice in the month ended and which were confirmed as stated in the report it submits, multiplied by the gross hourly wage.",4.2 ??? ????? ??? ????? ??? ????? ?????? ??? ???? ???? ?? ?????? ???????? ????? ??? ??? ???? ???? ???,legal
663,4.3  Employer will deduct and Employee hereby grants its consent to deduct from its salary any amount and/or tax and/or other mandatory payment deductible by law.,4.3 ???? ????? ????? ?? ??? ??? ???? ??? ??? ??? ?????/?? ????/?? ??? ???? ????? ?? ??? ???? ??? ????,legal
664,4.4  Employee's salary shall be paid thereto on a monthly basis no later than 10 days following the end of the month for which the salary is paid.,4.4 ??? ????? ??? ?????? ??? ?? ???? ?? 10 ???? ????? ???? ???? ?????,legal
665,The salary shall be paid to Employee by bank transfer.,?? ??? ?????? ???? ???? ?????,legal
666,"In its signing of this Contract, Employee grants its consent to the execution of the payment in said manner.",????? ?? ??? ?? ????? ??? ?? ???? ?? ????? ???? ????? ??? ????,legal
667,5,5,legal
668,Work Schedule,??? ???,legal
669,5.1  Start of work:,5.1      ???? ????,legal
670,25/12/2023,14/04/2016 ?/?,legal
671,5.2  Employee shall work according to the following:,5.2       ????? ?? ???? ???? ???? ????,legal
672,"5.2.1  <106>Sunday</106>, between 7:00-15:00",5.2.1      <106>????</106>? ?? ??? ??? 7?00-15?00,legal
673,"5.2.2  <109>Monday</109>, between 7:00-15:00",5.2.2      <109>???</109>? ?? ??? ??? 7?00-15?00,legal
674,"5.2.3  <112>Tuesday</112>, between 7:00-15:00",5.2.3      <112>???</112>? ?? ??? ??? 7?00-15?00,legal
675,"5.2.4  <115>Wednesday</115>, between 7:00-15:00",5.2.4      <115>???</115>? ?? ??? ??? 7?00-15?00,legal
676,"5.2.5  <118>Thursday</118>, between 7:00-15:00",5.2.5      <118>???</118>? ?? ??? ??? 7?00-15?00,legal
677,6,6,legal
678,Employee’s Statements and Undertakings,??????? ????? ?????,legal
679,"6.1  Employee undertakes to carry out all its obligations as detailed in this Contract faithfully and with dedication and to the best of its professional ability, and declares that it is in possession of the knowledge, training, experience and ability to perform them properly.",6.1 ????? ??? ??? ????? ??????? ?? ????? ???????? ???????? ???? ??? ???? ???? ?? ???? ???? ????? ?? ????? ????? ????? ???? ?????? ?????,legal
680,6.2  Employee agrees not to commit Employer to any obligations with third parties without Employer's prior written consent.,?????? ???? ???? ???? ?? ?????? ???? ?? ???? ??? ??? ???? ????? ????? ???????,legal
681,"Furthermore, Employee acknowledges that any unapproved obligations will be personally binding on it.",??? ??? ????? ??? ?????? ????? ???? ??? ?? ???? ?????,legal
682,"6.3  Employee will report to Employer at the end of each working day with regards to the duration of the operation, the number of participants therein and any irregular event that occurred throughout.",6.3 ????? ?? ????? ??? ??? ?? ??? ???? ???? ?? ??? ????? ??? ????? ???? ?? ??? ???? ??? ????? ???? ?????? ????? ???? ??? ???,legal
683,6.4  Employee is required to complete report forms provided by Employer in accordance with the stipulated provisions and submit them to Employer within the specified timeframes.,6.4 ????? ????? ????? ?????? ????? ????? ?? ???? ????? ????? ?? ??? ????? ?? ?? ???? ????? ?????,legal
684,7,7,legal
685,Termination of Contract,???? ???,legal
686,7.1 Employer may terminate the Contract and Employee’s employment by giving notice to Employee in writing and in advance or by immediate notice whilst paying Employee the equivalent remuneration for the notice period.,7.1 ???? ?????? ????? ????? ?? ????? ???? ???? ?????? ??? ?? ???? ?? ????? ???? ????? ?? ???? ?????? ??? ???? ?????,legal
687,"7.2  Nonetheless, Employee shall be entitled to a preliminary argument, the right to a ""hearing"" and if it is decided to dismiss it – the right to receive the grounds for dismissal in writing according at its request.","7.2 ??? ??? ????? ????? ??? ???? ??? ???? ??? ""????"" ??? ??? ????? ??????? - ????? ??? ????? ???? ???? ?? ???? ??? ????",legal
688,"Employee declares that it is aware that all the circumstances involved in the termination of its employment shall be stated in the grounds for its dismissal, without omission.",????? ?? ???? ??? ????? ??? ???? ?? ????? ???? ???? ?????? ????? ??? ?????,legal
689,7.3  The duration of the advance notice or its redemption rate will be as stipulated by law.,7.3 ???? ?? ??? ???? ???? ???? ?? ?? ???? ??? ??? ????? ???? ???,legal
690,The determination of severance pay will align with the provisions outlined in the law governing Hourly Employment.,???? ???? ????? ??? ??? ??? ???? ??? ????? ?? ?????? ?????? ????? ???? ???,legal
691,8,8,legal
692,Payment for travel,???? ???? ????,legal
693,Employee shall be entitled to payment for travel to and from work as stipulated in the law governing Hourly Employment.,????? ??? ??? ??? ????? ??? ??? ??? ???? ??? ????? ?? ????? ???? ???? ??? ????,legal
694,9,9,legal
695,Holiday Pay,?? ??? ????,legal
696,Employee shall be entitled to payment for holiday days as stipulated in the law governing Hourly Employment.,????? ???? ????? ???? ???? ??? ??? ??? ??? ???? ??? ????? ?? ??????,legal
697,10,10,legal
698,Convalescence Pay,?? ???? ????,legal
