id,english,tigrinya,domain
229,11/3/2025,11/3/2025,legal
230,12/3/2025,12/3/2025,legal
231,1/3/2026,1/3/2026,legal
232,2/3/2026,2/3/2026,legal
233,3/3/2026,3/3/2026,legal
234,4/3/2026,4/3/2026,legal
235,5/3/2026,5/3/2026,legal
236,6/3/2026,6/3/2026,legal
237,Tuition Bills,ናይ ትምህርቲ ሒሳብ,legal
238,Emailed,ብኢመይል ዝተላእከ,legal
239,No Bills sent,ዝኾነ ሒሳብ ዝተላእከ የለን,legal
240,10/9/2025,10/9/2025,legal
241,11/12/2025,11/12/2025,legal
242,12/9/2025,12/9/2025,legal
243,1/9/2026,1/9/2026,legal
244,2/9/2026,2/9/2026,legal
245,3/9/2026,3/9/2026,legal
246,4/9/2026,4/9/2026,legal
247,5/11/2026,5/11/2026,legal
248,6/9/2026,6/9/2026,legal
249,Payment Due,ክፍሊት ዝኽፈለሉ,legal
250,Date,ዕለት,legal
251,No Bills sent,ዝኾነ ሒሳብ ዝተላእከ የለን,legal
252,10/24/2025,10/24/2025,legal
253,Nov-25,Nov-25,legal
254,12/24/2025,12/24/2025,legal
255,1/24/2026,1/24/2026,legal
256,2/24/2026,2/24/2026,legal
257,3/24/2026,3/24/2026,legal
258,4/24/2026,4/24/2026,legal
259,5/26/2026,5/26/2026,legal
260,6/24/2026,6/24/2026,legal
261,Tuition Adjustments,ምትዕርራይ ክፍሊት ትምህርቲ,legal
262,Changes to income or household size should be reported to the <1>SPP enrollment team</1> before the cut-off date (see above) to be included in that month’s billing cycle.,ኣብ ኣታዊ ወይ ቁጽሪ ስድራቤት ዝመጽእ ለውጢ፣ ቅድሚ’ቲ ናይ ምቁራጽ መዓልቲ (ኣብ ላዕሊ ርአዩ) ናብ <1>ጉጅለ ምዝገባ SPP</1> ክሕበር ኣለዎ፣ እዚ ድማ ኣብ ዑደት ሕሳብ ናይቲ ወርሒ ክካተት ኣለዎ።,legal
263,"Otherwise, all changes apply to the next month’s billing date.",እንተዘይኮይኑ፣ ኩሉ ለውጥታት ኣብ’ቲ ዝቕጽል ወርሒ ናይ ሕሳብ ዕለት ይምልከት።,legal
264,June tuition invoices will not be pro-rated regardless of start/exit dates.,ናይ ጁን ክፍሊት ትምህርቲ ኢንቮይስ ምጅማር/ምውጻእ መዓልታት ብዘየገድስ ምስትኽኻል ኣይግበርን እዩ።,legal
265,"For children entering or exiting mid-month between October – May, tuition will be prorated as follows:",ኣብ መንጎ ኦክቶበር –ሜይ ኣብ መፋርቕ ወርሒ ንዝኣትዉ ወይ ዝወጹ ህጻናት፣ ክፍሊት ትምህርቲ ብኸምዚ ዝስዕብ ብመጠን ይምዘን፦,legal
266,"Entering on or before the 15<1>th</1>, or exiting on or after the 15<2>th</2>, no change to tuition requirements",ድሕሪ 15<1>ይ</1> ምእታው ወይ ቅድሚ 15<2>ይ</2> ዝወጽእ ወርሓዊ ክፍሊት፣ ኣብ ናይ ትምህርቲ ክፍሊት ረቛሒታት ለውጢ የብሉን,legal
267,"Entering after the 15<1>th</1> or exiting before the 15<2>th</2>, monthly tuition will be reduced by 50%",ድሕሪ 15<1>ይ</1> ምእታው ወይ ቅድሚ 15<2>ይ</2> ዝወጽእ ወርሓዊ ክፍሊት ብ50 ሚኢታዊ ክቕንስ እዩ።,legal
268,Sample Schedule: Preschool Day and Payment Structure,ናሙና መደብ ስራሕ፣ መዓልቲ ቅድመ ትምህርቲን ስነ-ስርዓት ክፍሊትን።,legal
269,,,legal
270,*EXAMPLE*,*ኣብነት*,legal
271,7:00 am—9:00 am,,legal
272,,ካብ 7:00 ኤ.ኤም—9:00 ኤ.ኤም,legal
273,Before/Extended Care Hours,ቅድሚ/ዝተናውሐ ሰዓታት ክንክን,legal
274,*EXAMPLE*,*ኣብነት*,legal
275,9:00 am—3:00 pm,ካብ 9:00 ኤ.ኤም—3:00 ፒ.ኤም,legal
276,SPP School Hours,ናይ SPP ናይ ትምህርቲ ሰዓታት,legal
277,*EXAMPLE*,*ኣብነት*,legal
278,3:00 pm—6:00 pm,ካብ 3:00 ፒ.ኤም—6:00 ፒ.ኤም,legal
279,After/Extended Care Hours,ድሕሪ/ዝተናውሐ ናይ ክንክን ሰዓታት,legal
280,<1>Cost:</1>  Rates vary by Provider.,<1>ዋጋ፦</1> ዋጋታት ከከም ኣቕራቢ ይፈላለዩ።,legal
281,Please contact your child’s school to learn extended day cost.,ንዝተናውሐ ናይ መዓልቲ ወጻኢታት ንምፍላጥ በጃኹም ምስ ቤት ትምህርቲ ውላድኩም ተወከሱ።,legal
282,<1>Payment Method</1>: Payment paid directly to Provider.,<1>ኣገባብ ክፍሊት</1>፦ ክፍሊት ብቐጥታ ናብ ኣቕራቢ ይኽፈል።,legal
283,Typical payment methods include childcare subsidies and paying out of pocket.,ልሙዳት ኣገባባት ክፍሊት፣ ድጎማ ክንክን ህጻናትን ካብ ጁባኻ ምኽፋልን ይርከብዎም።,legal
284,<1>Cost:</1>  SPP tuition is determined on a sliding scale.,<1>ዋጋ፦</1> ትምህርቲ SPP ብስላይድ መጠን እዩ ዝውሰን።,legal
285,Payment Method<1>:</1>,ኣገባብ ክፍሊት<1>፦</1>,legal
286,Payment paid directly to the City of Seattle/SPP.,ክፍሊት ብቐጥታ ናብ ከተማ Seattle /SPP ዝኽፈል።,legal
287,Please see chart on page 2 to learn how to submit payment.,ክፍሊት ብኸመይ ከም እተቕርብ ንምፍላጥ ኣብ ገጽ  2 ዘሎ ሰንጠረዥ ርአዩ።,legal
288,<1>Cost:</1>  Rates vary by Provider.,<1>ዋጋ፦</1> ዋጋታት ከከም ኣቕራቢ ይፈላለዩ።,legal
289,Please contact your child’s school to learn extended day cost.,ንዝተናውሐ ናይ መዓልቲ ወጻኢታት ንምፍላጥ በጃኹም ምስ ቤት ትምህርቲ ውላድኩም ተወከሱ።,legal
290,<1>Payment Method</1>: Payment paid directly to Provider.,<1>ኣገባብ ክፍሊት</1>፦ ክፍሊት ብቐጥታ ናብ ኣቕራቢ ይኽፈል።,legal
291,Typical payment methods include childcare subsidies and paying out of pocket.,ልሙዳት ኣገባባት ክፍሊት ድጎማ ክንክን ህጻናትን ካብ ጁባኻ ምኽፋልን ይርከብዎም።,legal
292,"*Please note, this is a sample schedule.",*ኣስተውዕሉ፣ እዚ ናሙና መደብ እዩ።,legal
293,Actual hours of operation vary by individual provider and not all providers offer extended hours*,ጭቡጥ ናይ ስራሕ ሰዓታት ብውልቀ ወሃቢ ኣገልግሎት ይፈላለ እዩ ኩሎም ወሃብቲ ኣገልግሎት ድማ ዝተናውሐ ሰዓታት ኣይህቡን*,legal
294,Making Payments,ክፍሊት ምግባር,legal
295,Payments are due according to the billing schedule.,ክፍሊት ብመሰረት ናይ ሒሳብ መደብ ይኽፈል።,legal
296,See Payment Options for how/where to make payments.,ከመይ/ኣበይ ክፍሊት ከም እትገብር ኣብ ኣማራጺታት ክፍሊት ርአዩ።,legal
297,"When making payments over the phone or online, you will need your Customer ID and Invoice #.",ብተሌፎን ወይ ብኢንተርነት ክፍሊት ክትገብር ከለኹም፣ መለለዪ ዓሚልኩምን ፋክቱር #ን ከድልየኩም እዩ።,legal
298,Write “City of Seattle-SPP” on all checks or money orders.,ኣብ ኩሉ ቸክ ወይ ገንዘብ ትእዛዝ“City of Seattle-SPP” ዝብል ጽሑፍ ጽሓፉ ። ,legal
299,Payment Options,ናይ ክፍሊት ኣማራጺታት,legal
300,Contact Information / Address,ርክብ ሓበሬታ / ኣድራሻ,legal
301,Payment Types,ዓይነታት ክፍሊት,legal
302,Online,ኦንላይን,legal
303,(Preferred method), (ዝምረጽ ኣገባብ),legal
304,The portal is available here:  <1>Lookup Account Details (billerpayments.com)</1>,እቲ ፖርታል ኣብዚ ኣሎ፦ <1>ዝርዝር ሕሳብ ምድላይ (billerpayments.com)</1>,legal
305,Need the Customer ID and Invoice #,ናይ ዓሚል መለለዪ መንነትን ፋክቱርን የድሊ #,legal
306,"If the invoice is <1>under $3000,</1> both credit card and bank account are accepted.",እቲ ፋክቱር <1>ትሕቲ 3000 ዶላር እንተኾይኑ፣</1> ክልቲኦም ክረዲት ካርድን ባንክ ሕሳብን ተቐባልነት ኣለዎም።,legal
307,"If the invoice is <1>over $3000, only a bank account</1> can be used.",እቲ ፋክቱር <1>ልዕሊ 3000 ዶላር እንተኾይኑ ናይ ባንክ ሕሳብ</1> ጥራይ እዩ ክጥቀም ዝኽእል።,legal
308,Mail,ፖስታ,legal
309,(Preferred method),(ዝምረጽ ኣገባብ),legal
310,City of Seattle - SPP,ከተማ Seattle – SPP,legal
311,Treasury Dept Accts Receivable PO Box 94626,Treasury Dept Accts ቅብሊት ፖስታ ሳጹን 94626,legal
312,"Seattle, WA 98124-6926",Seattle፣ WA 98124-6965,legal
313,Check or Money Order,ቸክ ወይ ገንዘብ ትዕዛዝ,legal
314,Write “City of Seattle-SPP” on all checks or money orders.,ኣብ ኩሉ ቸክ ወይ ገንዘብ ትዕዛዝ “City of Seattle-SPP” ዝብል ጽሑፍ ጽሓፉ።,legal
315,Phone,ተሌፎን,legal
316,(Only when the online payment portal is not available),(እቲ ናይ ኦንላይን ክፍሊት ፖርታል ኣብ ዘይህልወሉ እዋን ጥራይ),legal
317,City Payment Line:,መስመር ክፍሊት ከተማ፦,legal
318,(206) 684-7800,(206) 684-7800,legal
319,Hours: 8:30 am to 3:00 pm,ሰዓታት፦ 8:30 ኤ.ኤም to 3:00 ፒ.ኤም ,legal
320,VISA/Mastercard (3-digit security code is required),ቪዛ/ማስተርካርድ (3 ኣሃዝ ዘለዎ ናይ ምስጢር ኮድ የድሊ),legal
321,Need the Customer ID and Invoice #.,ናይ ዓሚል መለለዪን ፋክቱርን የድሊ #።,legal
322,In-Person,ብኣካል,legal
323,Seattle Municipal Tower,Seattle Municipal Tower,legal
324,4<1>th</1> Floor Payment/Information Desk Seattle Municipal Tower,4<1>ይ</1> ደርቢ ክፍሊት/ሓበሬታ ዴስክ Seattle Municipal Tower,legal
325,700 5<1>th</1> Avenue,700 5<1>ይ</1> Avenue,legal
326,"Seattle, WA 98104",Seattle፣ WA 98104,legal
327,Hours: 8:30 am – 4:00 pm,ሰዓታት፦ 8:30 ኤ.ኤም – 4:00 ፒ.ኤም,legal
328,"VISA/Mastercard, Cash, Check",ቪዛ/ማስተርካርድ፣ ጥረ ገንዘብ፣ ቸክ,legal
329,Customer Service Centers <1>http://www.seattle.gov/customer-</1> <2>service-centers</2>,ማእከላት ኣገልግሎት ዓማዊል <1>http://www.seattle.gov/customer-</1> <2>ማእከላት-ኣገልግሎት</2>,legal
330,"VISA/Mastercard, Cash, Check",ቪዛ/ማስተርካርድ፣ ጥረ ገንዘብ፣ ቸክ,legal
331,Proof of Payment – For Information Purposes Only,መርትዖ ክፍሊት – ንሓበሬታ ጥራይ,legal
332,"As a courtesy, SPP will mail tuition history statements twice a year, in February and July",ከም ስነ-ስርዓት፣ SPP ኣብ ዓመት ክልተ ግዜ፣ ማለት ኣብ ወርሒ ፌብሯሪ ን  ጁላይ ን፣ መግለጺታት ታሪኽ ትምህርቲ ብፖስታ ክልእኽ እዩ።,legal
333,"For additional payment summaries, please send an email request to: <1>SPPbilling@seattle.gov</1>",ንተወሳኺ ጽማቕ ክፍሊት፣ በጃኹም ናብዚ ዝስዕብ ኢመይል ሕቶ ስደዱ፦ <1>SPPbilling@seattle.gov</1>,legal
334,Contact Us,ርኸቡና,legal
335,Billing Questions Email: <1>SPPBilling@seattle.gov</1>,ሕቶታት ሕሳብ ኢመይል፦ <1>SPPBilling@seattle.gov</1>,legal
336,Billing Questions Phone: 206-684-5660,ሕቶታት ሕሳብ ስልኪ፦ 206-684-5660,legal
337,Hours: 8:00 am – 4:00 pm,ሰዓታት፦ 8:00 ኤ.ኤም – 4:00 ፒ.ኤም,legal
338,Seattle Preschool Program Frequently Asked Questions,መደብ ቅድመ ትምህርቲ Seattle ብተደጋጋሚ ዝሕተቱ ሕቶታት,legal
339,When is my payment due?,ክፍሊተይ መዓስ እዩ ዝኽፈል?,legal
340,Payments are due according to the Billing Schedule above or on the date listed on the invoice.,ክፍሊት ብመሰረት ኣብ ላዕሊ ዘሎ ናይ ሕሳብ መደብ ወይ ኣብቲ ፋክቱር ዝተዘርዘረ ዕለት ይኽፈል።,legal
341,,,legal
342,Where do I receive my monthly tuition bills?,ወርሓዊ ክፍሊት ትምህርተይ ኣበይ እየ ዝረኽቦ?,legal
343,,,legal
344,You will receive invoices via email from the City of Seattle from <1>info@seattle.gov</1> on the emailed date.,ኣብቲ ብኢመይል ዝተላእከሉ ዕለት ካብ ከተማ Seattle ካብ <1>info@seattle.gov</1> ብኢመይል ፋክቱራት ክትረኽቡ ኢኹም።,legal
345,"If you do not receive an invoice on that date, please check your SPAM folder.",ኣብታ ዕለት እቲኣ ኢንቮይስ እንተዘይተቐቢልኩም፣ በጃኹም SPAM ፎልደርኩም መርምሩ።,legal
346,Be sure to add “<1>info@seattle.gov</1>” as a Safe Sender (or mark as not SPAM) to ensure you receive emails.,ኢመይላት ከም ዝተቐበልኩም ንምርግጋጽ “<1>info@seattle.gov</1>” ከም ውሑስ ላኣኺ (ወይ ስፓም ከም ዘይኮነ ምልክት) ምውሳኽካ ኣረጋግጹ።,legal
347,Why are you billing me the full monthly amount for June?,ስለምንታይ ኢኹም ናይ ጁን ምሉእ ወርሓዊ ገንዘብ ትሓቱለይ ዘለኹም?,legal
348,"All SPP providers offer a required minimum days of service, so tuition is split into a monthly cost that remains the same each month regardless of the number of days a program operates in a given month.",ኩሎም ወሃብቲ SPP ዘድሊ ዝተሓተ መዓልታት ኣገልግሎት ይህቡ፣ ስለዚ ክፍሊት ትምህርቲ ኣብ ወርሓዊ ወጻኢታት ይምቀል፣ እዚ ድማ ኣብ ነፍሲ ወከፍ ወርሒ ሓደ ዓይነት ኮይኑ ይጸንሕ ብዘየገድስ ሓደ ፕሮግራም ኣብ ዝተዋህበ ወርሒ ዝሰርሓሉ መዓልታት ብዘየገድስ።,legal
349,,,legal
350,What if I am late or can’t make my payment on time?,ደንጉየ ወይ’ውን ክፍሊተይ ኣብ ግዚኡ ክገብር እንተዘይክኢለ’ኸ?,legal
351,Please notify the billing office if you have experienced a change in your family’s financial circumstances and are unable to make a payment.,ኣብ ፋይናንሳዊ ኩነታት ስድራቤትኩም ለውጢ እንተ ኣጋጢሙኩምን ክፍሊት ክትገብሩ እንተዘይክኢልኩምን በጃኹም ንቤት ጽሕፈት ሕሳብ ኣፍልጡ።,legal
352,,,legal
353,"In some cases, you may be eligible for a tuition reduction.",ኣብ ገለ ገለ ኣጋጣሚታት፣ ምጉዳል ክፍሊት ትምህርቲ ብቑዕ ክትከውን ትኽእሉ ኢኹም።,legal
354,,,legal
355,We may also be able to set up a payment plan.,ናይ ክፍሊት ውጥን እውን ክንሰርዕ ንኽእል ንኸውን።,legal
356,,,legal
357,Please contact <1><2>SPPBilling@seattle.gov</2>.</1>,በጃኹም <1><2>SPPBilling@seattle.gov</2>.</1> ተወከሱ,legal
358,,,legal
359,Do you offer online payment options?,ብኦንላይን ናይ ክፍሊት ኣማራጺታት ትህቡ ዶ?,legal
360,,,legal
361,"Yes, we are happy to offer an online payment option.",እወ፣ ብኦንላይን ናይ ክፍሊት ኣማራጺ ምቕራብና ሕጉሳት ኢና።,legal
362,,,legal
363,"To access online payment, you will need your invoice and customer number.",ብኦንላይን ክፍሊት ንምርካብ፣ ኢንቮይስ ቁጽሪ ዓሚልኩምን ከድልየኩም እዩ።,legal
364,,,legal
365,"If you don’t have these numbers, please contact SPP billing by email at <1>sppbilling@seattle.gov</1> or (206) 684-5660.",እዞም ቁጽርታት እንተዘይብልኩም፣ በጃኹም ን SPP billing ብኢመይል <1>sppbilling@seattle.gov</1> ወይ (206) 684-5660 ተወከሱ።,legal
366,,,legal
367,The portal is available here:  <1>Lookup Account Details (billerpayments.com)</1>.,እቲ ፖርታል ኣብዚ ኣሎ፦,legal
368,, <1>ዝርዝር ሕሳብ ምድላይ (billerpayments.com)</1>።,legal
369,,,legal
370,"Please note that, if the invoice is under $3000, both credit card and bank account are accepted.",በጃኹም ኣስተውዕሉ፣ እቲ ኢንቮይስ ትሕቲ 3000 ዶላር እንተኾይኑ፣ ክልቲኡ ናይ ክረዲት ካርድን ናይ ባንኪ ሕሳብን ተቐባልነት ኣለዎ።,legal
371,,,legal
372,Exodus Refugee Immigration Gleaners2Go Program,ናይ Exodus ስደተኛታት ኢሚግሬሽን መደብ Gleaners2Go,legal
373,Schedule,ናይ ግዘ ሰሌዳ,legal
374,Distribution day: Wednesdays 1 – 3 PM,መዓልቲ ምክፍፋል፣ ረቡዕ ካብ ሰዓት 1 – 3 ድሕሪ ቀትሪ,legal
375,You can place an order starting at 12:30 PM on Fridays and ending at 11:30 AM on Mondays the week of the distribution.,ዓርቢ ካብ ሰዓት 12፡30 ድሕሪ ቀትሪ ጀሚሩ ኣብ ሰሙን ምክፍፋል ሶኒ ድማ ሰዓት 11፡30 ቅድሚ ቀትሪ ትእዛዝ ክትህቡ ትኽእሉ ኢኹም።,legal
376,*Please note you will not see any pickup times for your location until your ordering window opens each week.,*ኣብ ነፍሲ ወከፍ ሰሙን መስኮት ትእዛዝኩም ክሳብ ዝኽፈት ንኣቀማምጣኹም ዝኾነ ናይ ምውሳድ ግዜ ከምዘይትርእዩ በጃኹም ኣስተውዕሉ።,legal
377,Ordering Window Opens,መስኮት ምእዛዝ ይኽፈት,legal
378,Ordering Window Closes,መስኮት ምእዛዝ ይዕጾ,legal
379,Order Pickup Day,መዓልቲ ምውሳድ ትእዛዝ,legal
380,Fridays,ኩሉ ግዘ ዓርቢ,legal
381,12:30 PM,12፡30 ድሕሪ ቀትሪ,legal
382,Mondays,ኩሉ ግዘ ሰኑይ,legal
383,11:30 AM,11፡30 ቅድሚ ቀትሪ,legal
384,Wednesdays,ኩሉ ግዘ ረቡዕ,legal
385,1 – 3 PM,1 – 3 ድሕሪ ቀትሪ,legal
386,How to place your first order,ከመይ ጌርና ናይ መጀመርታ ትእዛዝኩም ንገብር,legal
387,You will get an email from OrderAhead with a link to place an order.,ካብ OrderAhead ትእዛዝ ንምሃብ ዝሕግዝ ሊንክ ዘለዎ ኢመይል ክመጸኩም እዩ።,legal
388,This is the website we use for Gleaners2Go orders.,እዚ ንናይ Gleaners2Go ትእዛዝ እንጥቀመሉ መርበብ ሓበሬታ እዩ።,legal
389,Please check your Spam folder if you don’t see it in your inbox.,ኣብ ሳጹን መልአኽትኹም እንተዘይርኢኹምዎ በጃኹም ስፓም ፎልደርኩም መርምሩ።,legal
390,"If you’re not able to find the email at all, please reach out to your site coordinator for help.",ነቲ ኢመይል ፈጺምኩም ክትረኽብዎ እንተዘይክኢልኩም፣ በጃኹም ሓገዝ ንምርካብ ናብ ኣተሓባባሪ መርበብ ሓበሬታኹም ርኸቡ።,legal
391,"Once you click the link, you’ll be taken to the OrderAhead website.",ነቲ ሊንክ ምስ ጠወቕክሞ፣ ናብ መርበብ ሓበሬታ OrderAhead ክትውሰዱ ኢኹም።,legal
392,"On the website, select the Exodus Refugee Immigration location and choose a Pickup Time.",ኣብቲ መርበብ ሓበሬታ፣ ናይ Exodus ስደተኛ ኢሚግረሽን ቦታ ምረጹ ከምኡ'ውን ናይ ምውሳድ ግዜ ምረጹ።,legal
393,Browse through the items and click “Add to Cart” on the items you would like for your first order.,ኣብቲ ኣቑሑት ዳህሲስካ ኣብቲ ንመጀመርታ ትእዛዝካ እትደልዮ ኣቑሑት “Add to Cart” ዝብል ጠውቑ።,legal
394,Click “Checkout Now”.,“Checkout Now” ዝብል ጠውቑ።,legal
395,The next page will show all of your items and the weight of the order.,እቲ ዝቕጽል ገጽ ኩሉ ኣቑሑትኩምን ክብደት ናይቲ ትእዛዝን ከርኢ እዩ።,legal
396,Please make a note of the weight of your order so you’re prepared to transport these items on your pickup day.,በጃኹም ክብደት ትእዛዝኩም ኣስተብህሉ፣ ነዞም ኣቑሑት ኣብ መዓልቲ ምውሳድኩም ንምጉዕዓዝ ድሉዋት ክትኮኑ።,legal
397,Click “Checkout”.,“Checkout” ዝብል ጠውቑ።,legal
398,"On the next page, you will be prompted to Login.",ኣብ ዝቕጽል ገጽ ድማ Login ክትገብሩ ትሕተቱ።,legal
399,Click “Sign up” and create your account.,“Sign up” ዝብል ጠውቑ እሞ ሕሳብኩም ፍጠሩ።,legal
400,Please write down your password to make sure you can login to your account in the future.,ኣብ መጻኢ ናብ ኣካውንትኩም ክትኣትዉ ከም እትኽእሉ ንምርግጋጽ ፓስዎርድኩም ጽሓፉ።,legal
401,Answer the food situation and demographic questions,ኩነታት መግብን ዲሞግራፊካዊ ሕቶታትን መልሱ,legal
402,"After placing your order, you will get a confirmation email from OrderAhead with the details of your order.",ትእዛዝኩም ምስ ገበርኩም፣ ካብ OrderAhead ዝርዝር ትእዛዝኩም ዝሓዘ ናይ ምርግጋጽ ኢመይል ክመጸኩም እዩ።,legal
403,Ordering FAQs,FAQs ምእዛዝ,legal
404,"If the website says “No Pickup Times Available” for your location when the ordering window is open, this means that all the order slots are full.",እቲ መርበብ ሓበሬታ መስኮት ምእዛዝ ክፉት ከሎ ንኣቀማምጣኹም “No Pickup Times Available” እንተ ኢሉ፣ እዚ ማለት ኩሎም ናይ ትእዛዝ ቦታታት መሊኦም ኣለዉ ማለት እዩ።,legal
405,"If using a phone to place an order and the menu items don’t show properly, try turning the phone sideways to expand the screen.",ትእዛዝ ንምሃብ ስልኪ ትጥቀሙ እንተኾይንኩምን እቶም ናይ ዝርዝር ነገራት ብግቡእ እንተዘይተራእዮምን፣ ስክሪን ንምስፋሕ ነታ ስልኪ ንጐድኒ ክተዝርዋ ፈትኑ።,legal
406,"If the problem persists, please contact your site coordinator.",እቲ ጸገም እንተቐጺሉ፣ በጃኹም ምስ ኣተሓባባሪ መርበብ ሓበሬታኹም ተወከሱ።,legal
407,A 500-error code can occur if the order windows fill up while you’re in the process of ordering.,ኣብ መስርሕ ትእዛዝ ኣብ ዘለኹምሉ እዋን፣ መስኮታት ትእዛዝ እንተመሊኡ፣ 500-ስሕተት ዘለዎ ኮድ ክኽሰት ይኽእል።,legal
408,The only solution for this is to try placing the order again from the beginning.,ናይዚ እንኮ መፍትሒ ካብ መጀመርታ ነቲ ትእዛዝ ዳግማይ ክትህቦ ምፍታን እዩ።,legal
409,Page,ገጽ,legal
410,0x010100D079513C4BEDCD45AB057760E2B3FFB5,0x010100D079513C4BEDCD45AB057760E2B3FFB5,legal
411,R&P Case Closure Letter,ናይ R&P ጉዳይ ናይ ምዕጻው ደብዳቤ,legal
412,Date:,ዕለት፦,legal
413,Case Number:,ቁጽሪ ጉዳይ፦,legal
414,Dear:,ክቡር፦,legal
415,{t1}This letter is to inform you that you and the participating members of your family have completed the Reception and Placement (R&P) Program at Exodus Refugee Immigration - Indianapolis.,{t1}እዚ ደብዳቤ እዚ ንስኻን ተሳተፍቲ ኣባላት ስድራቤትካን ኣብ Exodus Refugee Immigration - Indianapolis  ምቕባልን ምምዳብን (R&P) Program ከም ዝወዳእኩም ንምሕባር እዩ።,legal
416,As of {/t1}{u1}08/05/24{/u1}{t2} for the following reason: {/t2},ካብ {/t1}{u1}12/11/16{/u1}{t2} ብዝስዕብ ምኽንያት፦ {/t2},legal
417,Out-Migration,Out-Migration,legal
418,Cash-Based R&P (Pre or Post-Arrival Cash-Based),Cash-Based R&P (Pre or Post-Arrival Cash-Based),legal
419,Refusal of R&P Program services,ናይ R&P Program ኣገልግሎታት ምኽልካል,legal
420,Completion of R&P Program service period,ምዝዛም ናይ R&P Program ናይ ኣገልግሎት ግዜ,legal
421,Other: ___________________________________,ካልእ፦ ___________________________________,legal
422,You and participating members of your family received the following R&P Program services from Exodus Refugee- Indianapolis:,ንስኻን ተሳተፍቲ ኣባላት ስድራቤትካን ካብ Exodus Refugee- Indianapolis እዞም ዝስዕቡ ናይ R&P Program ኣገልግሎታት ተቐቢልኩም ኣለኹም፦,legal
423,"Application for Public Benefits (SNAP, Medicaid, RMA, etc.)","መመልከቲ ህዝባዊ ጥቕምታት (SNAP, Medicaid, RMA, ወዘተ)",legal
424,Application for Cash Assistance (Refugee Cash Assistance or TANF),ናይ ገንዘብ ሓገዝ መመልከቲ (ናይ ስደተኛታት ናይ ገንዘብ ሓገዝ ወይ TANF),legal
425,Assistance to enroll in the Matching Grant (MG) program.,ኣብ ፕሮግራም Matching Grant (MG) ንምምዝጋብ ዝግበር ሓገዝ።,legal
426,Assistance to enroll in Employment programming.,ኣብ መደብ ስራሕ ንምምዝጋብ ዝግበር ሓገዝ።,legal
427,Assistance to enroll in English Language Training,ኣብ ስልጠና ቋንቋ እንግሊዝ ንምምዝጋብ ዝግበር ሓገዝ,legal
428,Enrollment in school for school-age children,ኣብ ዕድመ ትምህርቲ ንዝርከቡ ህጻናት ኣብ ቤት ትምህርቲ ምዝገባ,legal
429,Cultural Orientation,ባህላዊ ኣንፈት,legal
430,Assistance to complete the refugee health screening.,ናይ ስደተኛታት ናይ ጥዕና ምርመራ ንምፍጻም ሓገዝ ምግባር።,legal
431,Assistance to receive a Social Security Card(s),ማሕበራዊ ድሕነት ካርዲ(ታት) ንምርካብ ዝግበር ሓገዝ,legal
432,Assistance to receive an Employment Authorization Document(s),ናይ ስራሕ ፍቓድ ሰነድ(ታት) ንምርካብ ዝግበር ሓገዝ,legal
433,Other: WIC/ SSI / Family Reunification,ካልእ፦ WIC/ SSI / Family Reunification,legal
434,{t1}Services from the Office of Refugee Resettlement (ORR) will continue to be available to you for up to {/t1}{b1}five years{/b1}{t2} from the date of your arrival to the United States.,{t1}ካብ Office of Refugee Resettlement (ORR) ዝመጽእ ኣገልግሎት ክሳብ {/t1}{b1}ሓሙሽተ ዓመት{/b1}{t2} ካብታ ናብ ሕቡራት መንግስታት ኣመሪካ ዝመጻእካላ ዕለት ጀሚሩ ክቕጽል እዩ።,legal
435,You can access these services at resettlement agencies or approved service providers closest to you.,ነዞም ኣገልግሎታት ኣብቶም ዝቐረቡኻ ናይ ዳግመ-ምጥያስ ትካላት ወይ ፍቓድ ዘለዎም ወሃብቲ ኣገልግሎት ክትረኽቦም ትኽእል ኢኻ።,legal
436,"For more information, please visit ORR’s website at {/t2}{a1}https://www.acf.hhs.gov//orr/programs/refugees{/a1}",ንተወሳኺ ሓበሬታ፣በጃኻኣብ ናይ ORR ድሕረ-ገጽ {/t2}{a1}https://www.acf.hhs.gov//orr/programs/refugees ተወከስ{/a1} ,legal
437,{b1}Preferred Communities{/b1}{t1} (PC):,{b1}Preferred Communities{/b1}{t1} (PC)፦,legal
438,"The PC program supports refugees and ORR-eligible populations with challenging needs that require special attention, including those with serious medical conditions, women at risk and elderly refugees.{/t1}",እቲ ፕሮግራም PC ንስደተኛታትን ንORR ብቑዓት ዝኾኑ ህዝብን ፍሉይ ቆላሕታ ዝሓትት በዳሂ ድሌታት ዘለዎምን ይድግፍ፣ እዚ ድማ ነቶም ከቢድ ሕክምናዊ ኩነታት ዘለዎም፣ ኣብ ሓደጋ ዝርከቡ ደቂ ኣንስትዮን ኣረጋውያን ስደተኛታትን ይርከብዎም።{/t1},legal
439,{b1}Refugee Support Services{/b1}{t1} (RSS):,{b1}Refugee Support Services{/b1}{t1} (RSS)፦,legal
