id,english,tigrinya,domain,tokenized_english,tokenized_tigrinya,eng_length,tir_length
298,Write “City of Seattle-SPP” on all checks or money orders.,ኣብ ኩሉ ቸክ ወይ ገንዘብ ትእዛዝ“City of Seattle-SPP” ዝብል ጽሑፍ ጽሓፉ ።,legal,['Write “City of Seattle-SPP” on all checks or money orders.'],['ኣብ ኩሉ ቸክ ወይ ገንዘብ ትእዛዝ“City of Seattle-SPP” ዝብል ጽሑፍ ጽሓፉ ።'],10,12
300,Contact Information / Address,ርክብ ሓበሬታ / ኣድራሻ,legal,['Contact Information / Address'],['ርክብ ሓበሬታ / ኣድራሻ'],4,4
304,The portal is available here:  <1>Lookup Account Details (billerpayments.com)</1>,እቲ ፖርታል ኣብዚ ኣሎ፦ <1>ዝርዝር ሕሳብ ምድላይ (billerpayments.com)</1>,legal,['The portal is available here:\xa0 <1>Lookup Account Details (billerpayments.com)</1>'],['እቲ ፖርታል ኣብዚ ኣሎ፦ <1>ዝርዝር ሕሳብ ምድላይ (billerpayments.com)</1>'],9,8
305,Need the Customer ID and Invoice #,ናይ ዓሚል መለለዪ መንነትን ፋክቱርን የድሊ #,legal,['Need the Customer ID and Invoice #'],['ናይ ዓሚል መለለዪ መንነትን ፋክቱርን የድሊ #'],7,7
306,"If the invoice is <1>under $3000,</1> both credit card and bank account are accepted.",እቲ ፋክቱር <1>ትሕቲ 3000 ዶላር እንተኾይኑ፣</1> ክልቲኦም ክረዲት ካርድን ባንክ ሕሳብን ተቐባልነት ኣለዎም።,legal,"['If the invoice is <1>under $3000,</1> both credit card and bank account are accepted.']",['እቲ ፋክቱር <1>ትሕቲ 3000 ዶላር እንተኾይኑ፣</1> ክልቲኦም ክረዲት ካርድን ባንክ ሕሳብን ተቐባልነት ኣለዎም።'],14,13
307,"If the invoice is <1>over $3000, only a bank account</1> can be used.",እቲ ፋክቱር <1>ልዕሊ 3000 ዶላር እንተኾይኑ ናይ ባንክ ሕሳብ</1> ጥራይ እዩ ክጥቀም ዝኽእል።,legal,"['If the invoice is <1>over $3000, only a bank account</1> can be used.']",['እቲ ፋክቱር <1>ልዕሊ 3000 ዶላር እንተኾይኑ ናይ ባንክ ሕሳብ</1> ጥራይ እዩ ክጥቀም ዝኽእል።'],13,13
310,City of Seattle - SPP,ከተማ Seattle – SPP,legal,['City of Seattle - SPP'],['ከተማ Seattle – SPP'],5,4
311,Treasury Dept Accts Receivable PO Box 94626,Treasury Dept Accts ቅብሊት ፖስታ ሳጹን 94626,legal,['Treasury Dept Accts Receivable PO Box 94626'],['Treasury Dept Accts ቅብሊት ፖስታ ሳጹን 94626'],7,7
312,"Seattle, WA 98124-6926",Seattle፣ WA 98124-6965,legal,"['Seattle, WA 98124-6926']",['Seattle፣ WA 98124-6965'],3,3
313,Check or Money Order,ቸክ ወይ ገንዘብ ትዕዛዝ,legal,['Check or Money Order'],['ቸክ ወይ ገንዘብ ትዕዛዝ'],4,4
314,Write “City of Seattle-SPP” on all checks or money orders.,ኣብ ኩሉ ቸክ ወይ ገንዘብ ትዕዛዝ “City of Seattle-SPP” ዝብል ጽሑፍ ጽሓፉ።,legal,['Write “City of Seattle-SPP” on all checks or money orders.'],['ኣብ ኩሉ ቸክ ወይ ገንዘብ ትዕዛዝ “City of Seattle-SPP” ዝብል ጽሑፍ ጽሓፉ።'],10,12
316,(Only when the online payment portal is not available),(እቲ ናይ ኦንላይን ክፍሊት ፖርታል ኣብ ዘይህልወሉ እዋን ጥራይ),legal,['(Only when the online payment portal is not available)'],['(እቲ ናይ ኦንላይን ክፍሊት ፖርታል ኣብ ዘይህልወሉ እዋን ጥራይ)'],9,9
317,City Payment Line:,መስመር ክፍሊት ከተማ፦,legal,['City Payment Line:'],['መስመር ክፍሊት ከተማ፦'],3,3
319,Hours: 8:30 am to 3:00 pm,ሰዓታት፦ 8:30 ኤ.ኤም to 3:00 ፒ.ኤም,legal,['Hours: 8:30 am to 3:00 pm'],['ሰዓታት፦ 8:30 ኤ.ኤም to 3:00 ፒ.ኤም'],6,6
320,VISA/Mastercard (3-digit security code is required),ቪዛ/ማስተርካርድ (3 ኣሃዝ ዘለዎ ናይ ምስጢር ኮድ የድሊ),legal,['VISA/Mastercard (3-digit security code is required)'],['ቪዛ/ማስተርካርድ (3 ኣሃዝ ዘለዎ ናይ ምስጢር ኮድ የድሊ)'],6,8
321,Need the Customer ID and Invoice #.,ናይ ዓሚል መለለዪን ፋክቱርን የድሊ #።,legal,['Need the Customer ID and Invoice #.'],['ናይ ዓሚል መለለዪን ፋክቱርን የድሊ #።'],7,6
323,Seattle Municipal Tower,Seattle Municipal Tower,legal,['Seattle Municipal Tower'],['Seattle Municipal Tower'],3,3
324,4<1>th</1> Floor Payment/Information Desk Seattle Municipal Tower,4<1>ይ</1> ደርቢ ክፍሊት/ሓበሬታ ዴስክ Seattle Municipal Tower,legal,['4<1>th</1> Floor Payment/Information Desk Seattle Municipal Tower'],['4<1>ይ</1> ደርቢ ክፍሊት/ሓበሬታ ዴስክ Seattle Municipal Tower'],7,7
325,700 5<1>th</1> Avenue,700 5<1>ይ</1> Avenue,legal,['700 5<1>th</1> Avenue'],['700 5<1>ይ</1> Avenue'],3,3
326,"Seattle, WA 98104",Seattle፣ WA 98104,legal,"['Seattle, WA 98104']",['Seattle፣ WA 98104'],3,3
327,Hours: 8:30 am – 4:00 pm,ሰዓታት፦ 8:30 ኤ.ኤም – 4:00 ፒ.ኤም,legal,['Hours: 8:30 am – 4:00 pm'],['ሰዓታት፦ 8:30 ኤ.ኤም – 4:00 ፒ.ኤም'],6,6
328,"VISA/Mastercard, Cash, Check",ቪዛ/ማስተርካርድ፣ ጥረ ገንዘብ፣ ቸክ,legal,"['VISA/Mastercard, Cash, Check']",['ቪዛ/ማስተርካርድ፣ ጥረ ገንዘብ፣ ቸክ'],3,4
329,Customer Service Centers <1>http://www.seattle.gov/customer-</1> <2>service-centers</2>,ማእከላት ኣገልግሎት ዓማዊል <1>http://www.seattle.gov/customer-</1> <2>ማእከላት-ኣገልግሎት</2>,legal,['Customer Service Centers <1>http://www.seattle.gov/customer-</1> <2>service-centers</2>'],['ማእከላት ኣገልግሎት ዓማዊል <1>http://www.seattle.gov/customer-</1> <2>ማእከላት-ኣገልግሎት</2>'],5,5
330,"VISA/Mastercard, Cash, Check",ቪዛ/ማስተርካርድ፣ ጥረ ገንዘብ፣ ቸክ,legal,"['VISA/Mastercard, Cash, Check']",['ቪዛ/ማስተርካርድ፣ ጥረ ገንዘብ፣ ቸክ'],3,4
331,Proof of Payment – For Information Purposes Only,መርትዖ ክፍሊት – ንሓበሬታ ጥራይ,legal,['Proof of Payment – For Information Purposes Only'],['መርትዖ ክፍሊት – ንሓበሬታ ጥራይ'],8,5
332,"As a courtesy, SPP will mail tuition history statements twice a year, in February and July",ከም ስነ-ስርዓት፣ SPP ኣብ ዓመት ክልተ ግዜ፣ ማለት ኣብ ወርሒ ፌብሯሪ ን  ጁላይ ን፣ መግለጺታት ታሪኽ ትምህርቲ ብፖስታ ክልእኽ እዩ።,legal,"['As a courtesy, SPP will mail tuition history statements twice a year, in February and July']",['ከም ስነ-ስርዓት፣ SPP ኣብ ዓመት ክልተ ግዜ፣ ማለት ኣብ ወርሒ ፌብሯሪ ን  ጁላይ ን፣ መግለጺታት ታሪኽ ትምህርቲ ብፖስታ ክልእኽ እዩ።'],16,20
333,"For additional payment summaries, please send an email request to: <1>SPPbilling@seattle.gov</1>",ንተወሳኺ ጽማቕ ክፍሊት፣ በጃኹም ናብዚ ዝስዕብ ኢመይል ሕቶ ስደዱ፦ <1>SPPbilling@seattle.gov</1>,legal,"['For additional payment summaries, please send an email request to: <1>SPPbilling@seattle.gov</1>']",['ንተወሳኺ ጽማቕ ክፍሊት፣ በጃኹም ናብዚ ዝስዕብ ኢመይል ሕቶ ስደዱ፦ <1>SPPbilling@seattle.gov</1>'],11,10
335,Billing Questions Email: <1>SPPBilling@seattle.gov</1>,ሕቶታት ሕሳብ ኢመይል፦ <1>SPPBilling@seattle.gov</1>,legal,['Billing Questions Email: <1>SPPBilling@seattle.gov</1>'],['ሕቶታት ሕሳብ ኢመይል፦ <1>SPPBilling@seattle.gov</1>'],4,4
336,Billing Questions Phone: 206-684-5660,ሕቶታት ሕሳብ ስልኪ፦ 206-684-5660,legal,['Billing Questions Phone: 206-684-5660'],['ሕቶታት ሕሳብ ስልኪ፦ 206-684-5660'],4,4
337,Hours: 8:00 am – 4:00 pm,ሰዓታት፦ 8:00 ኤ.ኤም – 4:00 ፒ.ኤም,legal,['Hours: 8:00 am – 4:00 pm'],['ሰዓታት፦ 8:00 ኤ.ኤም – 4:00 ፒ.ኤም'],6,6
338,Seattle Preschool Program Frequently Asked Questions,መደብ ቅድመ ትምህርቲ Seattle ብተደጋጋሚ ዝሕተቱ ሕቶታት,legal,['Seattle Preschool Program Frequently Asked Questions'],['መደብ ቅድመ ትምህርቲ Seattle ብተደጋጋሚ ዝሕተቱ ሕቶታት'],6,7
339,When is my payment due?,ክፍሊተይ መዓስ እዩ ዝኽፈል?,legal,['When is my payment due?'],['ክፍሊተይ መዓስ እዩ ዝኽፈል?'],5,4
340,Payments are due according to the Billing Schedule above or on the date listed on the invoice.,ክፍሊት ብመሰረት ኣብ ላዕሊ ዘሎ ናይ ሕሳብ መደብ ወይ ኣብቲ ፋክቱር ዝተዘርዘረ ዕለት ይኽፈል።,legal,['Payments are due according to the Billing Schedule above or on the date listed on the invoice.'],['ክፍሊት ብመሰረት ኣብ ላዕሊ ዘሎ ናይ ሕሳብ መደብ ወይ ኣብቲ ፋክቱር ዝተዘርዘረ ዕለት ይኽፈል።'],17,14
342,Where do I receive my monthly tuition bills?,ወርሓዊ ክፍሊት ትምህርተይ ኣበይ እየ ዝረኽቦ?,legal,['Where do I receive my monthly tuition bills?'],['ወርሓዊ ክፍሊት ትምህርተይ ኣበይ እየ ዝረኽቦ?'],8,6
344,You will receive invoices via email from the City of Seattle from <1>info@seattle.gov</1> on the emailed date.,ኣብቲ ብኢመይል ዝተላእከሉ ዕለት ካብ ከተማ Seattle ካብ <1>info@seattle.gov</1> ብኢመይል ፋክቱራት ክትረኽቡ ኢኹም።,legal,['You will receive invoices via email from the City of Seattle from <1>info@seattle.gov</1> on the emailed date.'],['ኣብቲ ብኢመይል ዝተላእከሉ ዕለት ካብ ከተማ Seattle ካብ <1>info@seattle.gov</1> ብኢመይል ፋክቱራት ክትረኽቡ ኢኹም።'],17,13
345,"If you do not receive an invoice on that date, please check your SPAM folder.",ኣብታ ዕለት እቲኣ ኢንቮይስ እንተዘይተቐቢልኩም፣ በጃኹም SPAM ፎልደርኩም መርምሩ።,legal,"['If you do not receive an invoice on that date, please check your SPAM folder.']",['ኣብታ ዕለት እቲኣ ኢንቮይስ እንተዘይተቐቢልኩም፣ በጃኹም SPAM ፎልደርኩም መርምሩ።'],15,9
346,Be sure to add “<1>info@seattle.gov</1>” as a Safe Sender (or mark as not SPAM) to ensure you receive emails.,ኢመይላት ከም ዝተቐበልኩም ንምርግጋጽ “<1>info@seattle.gov</1>” ከም ውሑስ ላኣኺ (ወይ ስፓም ከም ዘይኮነ ምልክት) ምውሳኽካ ኣረጋግጹ።,legal,['Be sure to add “<1>info@seattle.gov</1>” as a Safe Sender (or mark as not SPAM) to ensure you receive emails.'],['ኢመይላት ከም ዝተቐበልኩም ንምርግጋጽ “<1>info@seattle.gov</1>” ከም ውሑስ ላኣኺ (ወይ ስፓም ከም ዘይኮነ ምልክት) ምውሳኽካ ኣረጋግጹ።'],19,15
347,Why are you billing me the full monthly amount for June?,ስለምንታይ ኢኹም ናይ ጁን ምሉእ ወርሓዊ ገንዘብ ትሓቱለይ ዘለኹም?,legal,['Why are you billing me the full monthly amount for June?'],['ስለምንታይ ኢኹም ናይ ጁን ምሉእ ወርሓዊ ገንዘብ ትሓቱለይ ዘለኹም?'],11,9
348,"All SPP providers offer a required minimum days of service, so tuition is split into a monthly cost that remains the same each month regardless of the number of days a program operates in a given month.",ኩሎም ወሃብቲ SPP ዘድሊ ዝተሓተ መዓልታት ኣገልግሎት ይህቡ፣ ስለዚ ክፍሊት ትምህርቲ ኣብ ወርሓዊ ወጻኢታት ይምቀል፣ እዚ ድማ ኣብ ነፍሲ ወከፍ ወርሒ ሓደ ዓይነት ኮይኑ ይጸንሕ ብዘየገድስ ሓደ ፕሮግራም ኣብ ዝተዋህበ ወርሒ ዝሰርሓሉ መዓልታት ብዘየገድስ።,legal,"['All SPP providers offer a required minimum days of service, so tuition is split into a monthly cost that remains the same each month regardless of the number of days a program operates in a given month.']",['ኩሎም ወሃብቲ SPP ዘድሊ ዝተሓተ መዓልታት ኣገልግሎት ይህቡ፣ ስለዚ ክፍሊት ትምህርቲ ኣብ ወርሓዊ ወጻኢታት ይምቀል፣ እዚ ድማ ኣብ ነፍሲ ወከፍ ወርሒ ሓደ ዓይነት ኮይኑ ይጸንሕ ብዘየገድስ ሓደ ፕሮግራም ኣብ ዝተዋህበ ወርሒ ዝሰርሓሉ መዓልታት ብዘየገድስ።'],37,34
350,What if I am late or can’t make my payment on time?,ደንጉየ ወይ’ውን ክፍሊተይ ኣብ ግዚኡ ክገብር እንተዘይክኢለ’ኸ?,legal,['What if I am late or can’t make my payment on time?'],['ደንጉየ ወይ’ውን ክፍሊተይ ኣብ ግዚኡ ክገብር እንተዘይክኢለ’ኸ?'],12,7
351,Please notify the billing office if you have experienced a change in your family’s financial circumstances and are unable to make a payment.,ኣብ ፋይናንሳዊ ኩነታት ስድራቤትኩም ለውጢ እንተ ኣጋጢሙኩምን ክፍሊት ክትገብሩ እንተዘይክኢልኩምን በጃኹም ንቤት ጽሕፈት ሕሳብ ኣፍልጡ።,legal,['Please notify the billing office if you have experienced a change in your family’s financial circumstances and are unable to make a payment.'],['ኣብ ፋይናንሳዊ ኩነታት ስድራቤትኩም ለውጢ እንተ ኣጋጢሙኩምን ክፍሊት ክትገብሩ እንተዘይክኢልኩምን በጃኹም ንቤት ጽሕፈት ሕሳብ ኣፍልጡ።'],23,15
353,"In some cases, you may be eligible for a tuition reduction.",ኣብ ገለ ገለ ኣጋጣሚታት፣ ምጉዳል ክፍሊት ትምህርቲ ብቑዕ ክትከውን ትኽእሉ ኢኹም።,legal,"['In some cases, you may be eligible for a tuition reduction.']",['ኣብ ገለ ገለ ኣጋጣሚታት፣ ምጉዳል ክፍሊት ትምህርቲ ብቑዕ ክትከውን ትኽእሉ ኢኹም።'],11,11
355,We may also be able to set up a payment plan.,ናይ ክፍሊት ውጥን እውን ክንሰርዕ ንኽእል ንኸውን።,legal,['We may also be able to set up a payment plan.'],['ናይ ክፍሊት ውጥን እውን ክንሰርዕ ንኽእል ንኸውን።'],11,7
357,Please contact <1><2>SPPBilling@seattle.gov</2>.</1>,በጃኹም <1><2>SPPBilling@seattle.gov</2>.</1> ተወከሱ,legal,['Please contact <1><2>SPPBilling@seattle.gov</2>.</1>'],['በጃኹም <1><2>SPPBilling@seattle.gov</2>.</1> ተወከሱ'],3,3
359,Do you offer online payment options?,ብኦንላይን ናይ ክፍሊት ኣማራጺታት ትህቡ ዶ?,legal,['Do you offer online payment options?'],['ብኦንላይን ናይ ክፍሊት ኣማራጺታት ትህቡ ዶ?'],6,6
361,"Yes, we are happy to offer an online payment option.",እወ፣ ብኦንላይን ናይ ክፍሊት ኣማራጺ ምቕራብና ሕጉሳት ኢና።,legal,"['Yes, we are happy to offer an online payment option.']",['እወ፣ ብኦንላይን ናይ ክፍሊት ኣማራጺ ምቕራብና ሕጉሳት ኢና።'],10,8
363,"To access online payment, you will need your invoice and customer number.",ብኦንላይን ክፍሊት ንምርካብ፣ ኢንቮይስ ቁጽሪ ዓሚልኩምን ከድልየኩም እዩ።,legal,"['To access online payment, you will need your invoice and customer number.']",['ብኦንላይን ክፍሊት ንምርካብ፣ ኢንቮይስ ቁጽሪ ዓሚልኩምን ከድልየኩም እዩ።'],12,8
365,"If you don’t have these numbers, please contact SPP billing by email at <1>sppbilling@seattle.gov</1> or (206) 684-5660.",እዞም ቁጽርታት እንተዘይብልኩም፣ በጃኹም ን SPP billing ብኢመይል <1>sppbilling@seattle.gov</1> ወይ (206) 684-5660 ተወከሱ።,legal,"['If you don’t have these numbers, please contact SPP billing by email at <1>sppbilling@seattle.gov</1> or (206) 684-5660.']",['እዞም ቁጽርታት እንተዘይብልኩም፣ በጃኹም ን SPP billing ብኢመይል <1>sppbilling@seattle.gov</1> ወይ (206) 684-5660 ተወከሱ።'],17,13
367,The portal is available here:  <1>Lookup Account Details (billerpayments.com)</1>.,እቲ ፖርታል ኣብዚ ኣሎ፦,legal,['The portal is available here:  <1>Lookup Account Details (billerpayments.com)</1>.'],['እቲ ፖርታል ኣብዚ ኣሎ፦'],9,4
370,"Please note that, if the invoice is under $3000, both credit card and bank account are accepted.",በጃኹም ኣስተውዕሉ፣ እቲ ኢንቮይስ ትሕቲ 3000 ዶላር እንተኾይኑ፣ ክልቲኡ ናይ ክረዲት ካርድን ናይ ባንኪ ሕሳብን ተቐባልነት ኣለዎ።,legal,"['Please note that, if the invoice is under $3000, both credit card and bank account are accepted.']",['በጃኹም ኣስተውዕሉ፣ እቲ ኢንቮይስ ትሕቲ 3000 ዶላር እንተኾይኑ፣ ክልቲኡ ናይ ክረዲት ካርድን ናይ ባንኪ ሕሳብን ተቐባልነት ኣለዎ።'],17,17
372,Exodus Refugee Immigration Gleaners2Go Program,ናይ Exodus ስደተኛታት ኢሚግሬሽን መደብ Gleaners2Go,legal,['Exodus Refugee Immigration Gleaners2Go Program'],['ናይ Exodus ስደተኛታት ኢሚግሬሽን መደብ Gleaners2Go'],5,6
374,Distribution day: Wednesdays 1 – 3 PM,መዓልቲ ምክፍፋል፣ ረቡዕ ካብ ሰዓት 1 – 3 ድሕሪ ቀትሪ,legal,['Distribution day: Wednesdays 1 – 3 PM'],['መዓልቲ ምክፍፋል፣ ረቡዕ ካብ ሰዓት 1 – 3 ድሕሪ ቀትሪ'],7,10
375,You can place an order starting at 12:30 PM on Fridays and ending at 11:30 AM on Mondays the week of the distribution.,ዓርቢ ካብ ሰዓት 12፡30 ድሕሪ ቀትሪ ጀሚሩ ኣብ ሰሙን ምክፍፋል ሶኒ ድማ ሰዓት 11፡30 ቅድሚ ቀትሪ ትእዛዝ ክትህቡ ትኽእሉ ኢኹም።,legal,['You can place an order starting at 12:30 PM on Fridays and ending at 11:30 AM on Mondays the week of the distribution.'],['ዓርቢ ካብ ሰዓት 12፡30 ድሕሪ ቀትሪ ጀሚሩ ኣብ ሰሙን ምክፍፋል ሶኒ ድማ ሰዓት 11፡30 ቅድሚ ቀትሪ ትእዛዝ ክትህቡ ትኽእሉ ኢኹም።'],23,20
376,*Please note you will not see any pickup times for your location until your ordering window opens each week.,*ኣብ ነፍሲ ወከፍ ሰሙን መስኮት ትእዛዝኩም ክሳብ ዝኽፈት ንኣቀማምጣኹም ዝኾነ ናይ ምውሳድ ግዜ ከምዘይትርእዩ በጃኹም ኣስተውዕሉ።,legal,['*Please note you will not see any pickup times for your location until your ordering window opens each week.'],['*ኣብ ነፍሲ ወከፍ ሰሙን መስኮት ትእዛዝኩም ክሳብ ዝኽፈት ንኣቀማምጣኹም ዝኾነ ናይ ምውሳድ ግዜ ከምዘይትርእዩ በጃኹም ኣስተውዕሉ።'],19,16
377,Ordering Window Opens,መስኮት ምእዛዝ ይኽፈት,legal,['Ordering Window Opens'],['መስኮት ምእዛዝ ይኽፈት'],3,3
378,Ordering Window Closes,መስኮት ምእዛዝ ይዕጾ,legal,['Ordering Window Closes'],['መስኮት ምእዛዝ ይዕጾ'],3,3
379,Order Pickup Day,መዓልቲ ምውሳድ ትእዛዝ,legal,['Order Pickup Day'],['መዓልቲ ምውሳድ ትእዛዝ'],3,3
385,1 – 3 PM,1 – 3 ድሕሪ ቀትሪ,legal,['1 – 3 PM'],['1 – 3 ድሕሪ ቀትሪ'],4,5
386,How to place your first order,ከመይ ጌርና ናይ መጀመርታ ትእዛዝኩም ንገብር,legal,['How to place your first order'],['ከመይ ጌርና ናይ መጀመርታ ትእዛዝኩም ንገብር'],6,6
387,You will get an email from OrderAhead with a link to place an order.,ካብ OrderAhead ትእዛዝ ንምሃብ ዝሕግዝ ሊንክ ዘለዎ ኢመይል ክመጸኩም እዩ።,legal,['You will get an email from OrderAhead with a link to place an order.'],['ካብ OrderAhead ትእዛዝ ንምሃብ ዝሕግዝ ሊንክ ዘለዎ ኢመይል ክመጸኩም እዩ።'],14,10
388,This is the website we use for Gleaners2Go orders.,እዚ ንናይ Gleaners2Go ትእዛዝ እንጥቀመሉ መርበብ ሓበሬታ እዩ።,legal,['This is the website we use for Gleaners2Go orders.'],['እዚ ንናይ Gleaners2Go ትእዛዝ እንጥቀመሉ መርበብ ሓበሬታ እዩ።'],9,8
389,Please check your Spam folder if you don’t see it in your inbox.,ኣብ ሳጹን መልአኽትኹም እንተዘይርኢኹምዎ በጃኹም ስፓም ፎልደርኩም መርምሩ።,legal,['Please check your Spam folder if you don’t see it in your inbox.'],['ኣብ ሳጹን መልአኽትኹም እንተዘይርኢኹምዎ በጃኹም ስፓም ፎልደርኩም መርምሩ።'],13,8
390,"If you’re not able to find the email at all, please reach out to your site coordinator for help.",ነቲ ኢመይል ፈጺምኩም ክትረኽብዎ እንተዘይክኢልኩም፣ በጃኹም ሓገዝ ንምርካብ ናብ ኣተሓባባሪ መርበብ ሓበሬታኹም ርኸቡ።,legal,"['If you’re not able to find the email at all, please reach out to your site coordinator for help.']",['ነቲ ኢመይል ፈጺምኩም ክትረኽብዎ እንተዘይክኢልኩም፣ በጃኹም ሓገዝ ንምርካብ ናብ ኣተሓባባሪ መርበብ ሓበሬታኹም ርኸቡ።'],19,13
391,"Once you click the link, you’ll be taken to the OrderAhead website.",ነቲ ሊንክ ምስ ጠወቕክሞ፣ ናብ መርበብ ሓበሬታ OrderAhead ክትውሰዱ ኢኹም።,legal,"['Once you click the link, you’ll be taken to the OrderAhead website.']",['ነቲ ሊንክ ምስ ጠወቕክሞ፣ ናብ መርበብ ሓበሬታ OrderAhead ክትውሰዱ ኢኹም።'],12,10
392,"On the website, select the Exodus Refugee Immigration location and choose a Pickup Time.",ኣብቲ መርበብ ሓበሬታ፣ ናይ Exodus ስደተኛ ኢሚግረሽን ቦታ ምረጹ ከምኡ'ውን ናይ ምውሳድ ግዜ ምረጹ።,legal,"['On the website, select the Exodus Refugee Immigration location and choose a Pickup Time.']","[""ኣብቲ መርበብ ሓበሬታ፣ ናይ Exodus ስደተኛ ኢሚግረሽን ቦታ ምረጹ ከምኡ'ውን ናይ ምውሳድ ግዜ ምረጹ።""]",14,14
393,Browse through the items and click “Add to Cart” on the items you would like for your first order.,ኣብቲ ኣቑሑት ዳህሲስካ ኣብቲ ንመጀመርታ ትእዛዝካ እትደልዮ ኣቑሑት “Add to Cart” ዝብል ጠውቑ።,legal,['Browse through the items and click “Add to Cart” on the items you would like for your first order.'],['ኣብቲ ኣቑሑት ዳህሲስካ ኣብቲ ንመጀመርታ ትእዛዝካ እትደልዮ ኣቑሑት “Add to Cart” ዝብል ጠውቑ።'],19,13
394,Click “Checkout Now”.,“Checkout Now” ዝብል ጠውቑ።,legal,['Click “Checkout Now”.'],['“Checkout Now” ዝብል ጠውቑ።'],3,4
395,The next page will show all of your items and the weight of the order.,እቲ ዝቕጽል ገጽ ኩሉ ኣቑሑትኩምን ክብደት ናይቲ ትእዛዝን ከርኢ እዩ።,legal,['The next page will show all of your items and the weight of the order.'],['እቲ ዝቕጽል ገጽ ኩሉ ኣቑሑትኩምን ክብደት ናይቲ ትእዛዝን ከርኢ እዩ።'],15,10
396,Please make a note of the weight of your order so you’re prepared to transport these items on your pickup day.,በጃኹም ክብደት ትእዛዝኩም ኣስተብህሉ፣ ነዞም ኣቑሑት ኣብ መዓልቲ ምውሳድኩም ንምጉዕዓዝ ድሉዋት ክትኮኑ።,legal,['Please make a note of the weight of your order so you’re prepared to transport these items on your pickup day.'],['በጃኹም ክብደት ትእዛዝኩም ኣስተብህሉ፣ ነዞም ኣቑሑት ኣብ መዓልቲ ምውሳድኩም ንምጉዕዓዝ ድሉዋት ክትኮኑ።'],21,12
398,"On the next page, you will be prompted to Login.",ኣብ ዝቕጽል ገጽ ድማ Login ክትገብሩ ትሕተቱ።,legal,"['On the next page, you will be prompted to Login.']",['ኣብ ዝቕጽል ገጽ ድማ Login ክትገብሩ ትሕተቱ።'],10,7
399,Click “Sign up” and create your account.,“Sign up” ዝብል ጠውቑ እሞ ሕሳብኩም ፍጠሩ።,legal,['Click “Sign up” and create your account.'],['“Sign up” ዝብል ጠውቑ እሞ ሕሳብኩም ፍጠሩ።'],7,7
400,Please write down your password to make sure you can login to your account in the future.,ኣብ መጻኢ ናብ ኣካውንትኩም ክትኣትዉ ከም እትኽእሉ ንምርግጋጽ ፓስዎርድኩም ጽሓፉ።,legal,['Please write down your password to make sure you can login to your account in the future.'],['ኣብ መጻኢ ናብ ኣካውንትኩም ክትኣትዉ ከም እትኽእሉ ንምርግጋጽ ፓስዎርድኩም ጽሓፉ።'],17,10
401,Answer the food situation and demographic questions,ኩነታት መግብን ዲሞግራፊካዊ ሕቶታትን መልሱ,legal,['Answer the food situation and demographic questions'],['ኩነታት መግብን ዲሞግራፊካዊ ሕቶታትን መልሱ'],7,5
402,"After placing your order, you will get a confirmation email from OrderAhead with the details of your order.",ትእዛዝኩም ምስ ገበርኩም፣ ካብ OrderAhead ዝርዝር ትእዛዝኩም ዝሓዘ ናይ ምርግጋጽ ኢመይል ክመጸኩም እዩ።,legal,"['After placing your order, you will get a confirmation email from OrderAhead with the details of your order.']",['ትእዛዝኩም ምስ ገበርኩም፣ ካብ OrderAhead ዝርዝር ትእዛዝኩም ዝሓዘ ናይ ምርግጋጽ ኢመይል ክመጸኩም እዩ።'],18,13
404,"If the website says “No Pickup Times Available” for your location when the ordering window is open, this means that all the order slots are full.",እቲ መርበብ ሓበሬታ መስኮት ምእዛዝ ክፉት ከሎ ንኣቀማምጣኹም “No Pickup Times Available” እንተ ኢሉ፣ እዚ ማለት ኩሎም ናይ ትእዛዝ ቦታታት መሊኦም ኣለዉ ማለት እዩ።,legal,"['If the website says “No Pickup Times Available” for your location when the ordering window is open, this means that all the order slots are full.']",['እቲ መርበብ ሓበሬታ መስኮት ምእዛዝ ክፉት ከሎ ንኣቀማምጣኹም “No Pickup Times Available” እንተ ኢሉ፣ እዚ ማለት ኩሎም ናይ ትእዛዝ ቦታታት መሊኦም ኣለዉ ማለት እዩ።'],26,24
405,"If using a phone to place an order and the menu items don’t show properly, try turning the phone sideways to expand the screen.",ትእዛዝ ንምሃብ ስልኪ ትጥቀሙ እንተኾይንኩምን እቶም ናይ ዝርዝር ነገራት ብግቡእ እንተዘይተራእዮምን፣ ስክሪን ንምስፋሕ ነታ ስልኪ ንጐድኒ ክተዝርዋ ፈትኑ።,legal,"['If using a phone to place an order and the menu items don’t show properly, try turning the phone sideways to expand the screen.']",['ትእዛዝ ንምሃብ ስልኪ ትጥቀሙ እንተኾይንኩምን እቶም ናይ ዝርዝር ነገራት ብግቡእ እንተዘይተራእዮምን፣ ስክሪን ንምስፋሕ ነታ ስልኪ ንጐድኒ ክተዝርዋ ፈትኑ።'],24,18
406,"If the problem persists, please contact your site coordinator.",እቲ ጸገም እንተቐጺሉ፣ በጃኹም ምስ ኣተሓባባሪ መርበብ ሓበሬታኹም ተወከሱ።,legal,"['If the problem persists, please contact your site coordinator.']",['እቲ ጸገም እንተቐጺሉ፣ በጃኹም ምስ ኣተሓባባሪ መርበብ ሓበሬታኹም ተወከሱ።'],9,9
